en,es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											I'm an industrial engineer.
											The goal in my life has always been to make
											more and more products
											in the least amount of time and resources.
											While working at Toyota,
											all I knew was how to make cars
											until I met Dr. Akira Miyawaki,
											who came to our factory to make a forest in it
											in order to make it carbon-neutral.
											I was so fascinated
											that I decided to learn this methodology
											by joining his team as a volunteer.
											Soon, I started making a forest
											in the backyard of my own house,
											and this is how it looks after three years.
									","
											Soy ingeniero industrial.
											Mi objetivo en la vida
siempre ha sido hacer
											más y más productos
											con la menor cantidad
de tiempo y de recursos.
											Mientras trabajaba en Toyota
											lo único que sabía era cómo hacer autos
											hasta que conocí al doctor Akira Miyawaki,
											quien llegó a la fábrica a crear
un bosque dentro de ella
											para hacerla un emisor
neutral de carbono.
											Estaba tan fascinado
											que decidí aprender esta metodología
											uniéndome a su equipo como voluntario.
											Pronto, empecé a hacer un bosque
											en el patio trasero de mi propia casa
											y así es como se ve después de tres años.
									","
											Sou engenheiro industrial.
											O objetivo da minha vida foi sempre
											fazer cada vez mais produtos
											com a menor quantidade 
de tempo e de recursos.
											Quando estava a trabalhar na Toyota,
											só sabia fazer automóveis
											até que conheci o Dr. Akira Miyawaki,
											que chegou à nossa fábrica 
para criar nela uma floresta,
											a fim de a tornar neutra em carbono.
											Fiquei tão fascinado
											que decidi aprender essa metodologia
											aderindo à sua equipa como voluntário.
											Em breve, comecei a fazer uma floresta
											no quintal da minha casa.
											Tem este aspeto ao fim de três anos.
									","
											Ben bir Endüstri Mühendisi'yim.
											Hayattaki amacım, her zaman en az zaman
											ve kaynakla daha fazla ürün
											yapmak olmuştur.
											Toyota'da çalışırken,
											tek bildiğim şey araba yapmaktı,
											ta ki Dr. Akira Miyawaki ile 
tanışıncaya dek.
											Kendisi fabrikamızı sıfır karbonlu
hâle getirmek için
											bir orman oluşturmak üzere gelmişti. 

											O kadar etkilenmiştim ki,
											ekibine gönüllü olarak katılarak
											bu yöntemi öğrenmeye karar verdim.
											Kısa zamanda evimin arka bahçesinde
											bir orman yapmaya başladım
											ve işte bu üç sene sonraki görünümü.
									","
											Ich bin ein Wirtschaftsingenieur.
											Mein Lebensziel war stets
in möglichst kurzer Zeit
											mit möglichst wenig Ressourcen
											die meisten Produkte herzustellen.
											Bei meiner Arbeit bei Toyota
											wusste ich nur, wie man Autos baut,
											bis ich Dr. Akira Miyawaki traf,
											der in unsere Fabrik kam, 
damit sie kohlenstoffneutral wird,
											und dafür einen Wald anlegte.
											Ich war so fasziniert,
											dass ich beschloss, 
diese Methode zu lernen,
											und mich als Freiwilliger
seinem Team anschloss.
											Bald legte ich im Hinterhof
											meines Hauses einen Wald an
											und so sah er 
nach drei Jahren aus.
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											These forests,
											compared to a conventional plantation,
											grow 10 times faster,
											they're 30 times more dense,
											and 100 times more biodiverse.
											Within two years of having this forest in our backyard,
											I could observe that the groundwater
											didn't dry during summers,
											the number of bird species I spotted in this area
											doubled.
											Quality of air became better,
											and we started harvesting seasonal fruits
											growing effortlessly
											right in the backyard of our house.
									","
											Este bosque,
											comparado con las
plantaciones convencionales,
											crece 10 veces más rápido,
											es 30 veces más denso,
											y 100 veces más biodiverso.
											Después de 2 años de tener
este bosque en mi patio trasero,
											noté que el agua del subsuelo
											no se secaba durante el verano seco,
											que el número de aves en el área
se había duplicado.
											La calidad del aire se volvió mejor
											y empezamos a cosechar
frutas de temporada
											que crecían sin esfuerzo
											justo en el patio trasero
de nuestra propia casa.
									","
											Estas florestas,
											comparadas com uma plantação convencional,
											crescem 10 vezes mais depressa,
											são 30 vezes mais densas,
											e têm uma biodiversidade 100 vezes maior.
											Ao fim de dois anos de ter 
esta floresta no nosso quintal,
											pude observar que a água subterrânea
											não secava durante o verão,
											o número de espécies avícolas 
que eu detetava nesta área
											duplicou.
											A qualidade do ar melhorou,
											e começámos a colher frutos sazonais
											que cresciam sem esforço
											mesmo no quintal da nossa casa.
									","
											Bu ormanlar,
											geleneksel ekimle karşılaştırıldığında
											10 kat daha hızlı büyür,
											30 kat daha yoğundur
											ve 100 kat daha fazla 
biyoçeşitliliğe sahiptir.
											Bahçemizde bu ormana sahip
olduğum iki sene boyunca,
											yazları zemin suyunun
											kurumadığını gözlemleyebildim,
											bu alanda tespit ettiğim kuş 
türlerinin sayısı
											iki katına çıktı.
											Hava kalitesi daha 
iyi hâle geldi
											ve evimizin arka bahçesinde
											hiç çaba göstermeden
											büyüyen mevsimsel meyveleri
toplamaya başladık.
									","
											Diese Wälder
											wachsen 10-mal schneller
											als konventionell angebaute,
											sie sind 30-mal dichter
											und 100-mal artenreicher.
											In den ersten zwei Jahren bemerkte ich,
											dass das Grundwasser im Sommer
											nicht zurückging,
											und die Vogelarten, 
die ich zu sehen bekam,
											verdoppelten sich.
											Die Luft wurde reiner
											und wir ernteten Früchte der Saison,
											die mühelos wuchsen,
											einfach so im Hinterhof meines Hauses.
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											I wanted to make more of these forests.
											I was so moved by these results
											that I wanted to make these forests
											with the same acumen with which we make cars
											or write software or do any mainstream business,
											so I founded a company
											which is an end-to-end service provider
											to create these native natural forests.
											But to make afforestation as a mainstream business
											or an industry, we had to standardize
											the process of forest-making.
											So we benchmarked the Toyota Production System
											known for its quality and efficiency
											for the process of forest-making.
									","
											Quise hacer más de esos bosques.
											Estaba tan impactado por los resultados
que quería crear estos bosques
											con la misma pasión
con la que hacía autos,
											escribía software o hacía negocios;
											así que fundé un compañía
											que es el proveedor de servicios final
											para crear estos bosques naturales nativos.
											Pero para hacer de la reforestación
un negocio importante
											o una industria,
necesitamos estandarizar
											el proceso de hacer bosques.
											Así que tomamos el sistema
de producción de Toyota,
											conocido por su calidad y eficiencia,
											para el proceso de hacer bosques.
									","
											Quis fazer cada vez mais florestas destas.
											Fiquei tão entusiasmado 
com estes resultados
											que queria fazer destas florestas
											com a mesma perspicácia 
com que fazemos carros
											ou escrevemos ""software"" 
ou fazemos quaisquer negócios,
											por isso, fundei uma empresa
											que fornece serviços ao consumidor final
											para criar estas florestas 
nativas naturais.
											Mas para fazer da florestação
											um negócio ou uma indústria,
											temos que normalizar 
o processo de fazer florestas.
											Por isso, fomos buscar 
o Sistema de Produção Toyota [SPT]
											conhecido pela sua qualidade e eficácia
											para o processo de fazer florestas.
									","
											Bu ormanlardan daha fazla yapmak istedim.
											Sonuçlardan öylesine

											etkilenmiştim ki, bu ormanları
											araba yaptığımız, yazılım 
kodladığımız veya herhangi
											bir işi yürüttüğümüz gibi ticari bir
zekâyla yapmak istedim,
											bu yüzden yerel doğal 
ormanları yaratmak
											için uçtan uca bir servis sağlayıcı

											olan bir şirket kurdum.
											Ancak ağaçlandırmayı ana bir
iş kolu veya endüstri hâline
											getirmek için, orman yapma sürecini
											standart hâle getirmemiz gerekiyordu.
											Böylece ağaçlandırma süreci için,
											kalite ve etkinliği ile bilinen
Toyota Üretim Sistemi'ni
											kıstas olarak aldık.
									","
											Ich wollte mehr solcher Wälder anlegen.
											Das Ergebnis war so bewegend,
											dass ich diese Wälder
											mit der gleichen Raffinesse
wie wir Autos bauen,
											Software schreiben oder andere 
Geschäfte machen, pflanzen wollte.
											Deshalb gründete ich ein Unternehmen
											mit Komplettservice,
											um diese Naturwälder anzulegen.
											Aber um Aufforstung
zum Mainstream-Geschäft zu machen
											oder zu einer Industrie,
											mussten wir
die Aufforstung standardisieren.
											Wir übertrugen also
das Toyota-Produktionssystem,
											bekannt für Qualität und Effizienz,
											auf den Prozess der Aufforstung.
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											For an example, the core of TPS,
											Toyota Production System, lies in heijunka,
											which is making manufacturing
											of different models of cars
											on a single assembly line.
											We replaced these cars with trees,
											using which now we can make multi-layered forests.
											These forests utilize 100 percent vertical space.
											They are so dense
											that one can't even walk into them.
											For an example, we can make a 300-tree forest
											in an area as small as the parking spaces of six cars.
											In order to reduce cost and our own carbon footprint,
											we started utilizing local biomass
											as soil amender and fertilizers.
											For example, coconut shells crushed in a machine
											mixed with rice straw,
											powder of rice husk mixed with organic manure
											is finally dumped in soil on which
											our forest is planted.
											Once planted, we use grass or rice straw
											to cover the soil
											so that all the water which goes into irrigation
											doesn't get evaporated back into the atmosphere.
											And using these simple improvisations,
											today we can make a forest
											for a cost as low as the cost of an iPhone.
									","
											Por ejemplo, el nucleo del SPT,
											Sistema de Producción Toyota,
se basa en <i>heijunka</i>,
											que es hacer la manufactura
											de diferentes modelos
											en una sola línea de ensamblaje.
											Reemplazamos los autos con árboles,
											de esta manera podemos
crear bosques de varias capas.
											Estos bosques utilizan
el 100% del espacio vertical.
											Son tan densos
											que uno no puede entrar.
											Por ejemplo, podemos hacer
un bosque de 300 árboles
											en una área tan pequeña como
un estacionamiento de 6 autos.
											Para reducir costos y nuestra
propia marca de carbón,
											empezamos a utilizar biomasa local
											como abono y fertilizantes.
											Por ejemplo, las cáscaras de coco
trituradas en una máquina
											mezcladas con paja de arroz,
											polvo de cáscaras de maíz mezcladas
con estiércol orgánico
											se pone en el suelo
											en que vamos a plantar el bosque.
											Una vez plantado, 
usamos pasto o paja de arroz
											para cubrir el suelo,
											así el agua que usamos para regar
											no se evapora.
											Usando estas mejoras simples
											hoy en día podemos hacer un bosque
											con un costo tan bajo como
el costo de un iPhone
									","
											Por exemplo, o cerne do SPT,
											— o Sistema de Produção Toyota —
											reside no ""heijunka"",
											que é fabricar diferentes modelos de carros
											numa única linha de montagem.
											Substituímos esses carros por árvores,
											com as quais podemos fazer agora 
florestas de várias camadas.
											Estas florestas utilizam 
100% de espaço vertical.
											São tão densas
											que nem se consegue andar no meio delas.
											Por exemplo, podemos fazer 
uma floresta de 300 árvores
											numa área tão pequena como
o estacionamento de 6 automóveis.
											Para reduzir o custo e 
a nossa pegada de carbono,
											começámos a utilizar biomassa local
											como corretor do solo e fertilizante.
											Por exemplo, as cascas de coco 
trituradas numa máquina
											misturadas com palha de arroz,
											as cascas de arroz em pó 
misturadas com estrume orgânico
											são despejadas na terra
											em que plantamos a nossa floresta.
											Depois de plantada, usamos 
ervas ou palha de arroz
											para cobrir o solo,
											de modo que a água da rega
											não se evapore na atmosfera.
											Usando estas improvisações simples,
											podemos hoje fazer uma floresta
											com um custo tão baixo 
como o custo de um iPhone.
									","
											Örneğin, TÜS'ün,
											Toyata Üretim Sistemi'nin 
temelinde ""heijunka"" yatar.
											Bu, tek bir montaj hattında
											farklı modelde arabalar
											imal etmektir.
											Bu arabaları ağaçlarla değiştirdik,
											böylece artık çok katmanlı 
ormanlar yapabiliyoruz.
											Bu ormanlar yüzde yüz 
dikey alan kullanır.
											O kadar
											yoğundur ki, içine dahi girilemez.
											Örnek olarak, altı arabalık bir
park yeri büyüklüğünde
											bir alanda 300 ağaçlık 
bir orman yapabiliriz.
											Maliyeti ve karbon ayak izini 
azaltmak için,
											toprak iyileştirici ve gübre olarak
											yerel biyokütle kullanmaya başladık.
											Örneğin, makinada öğütülmüş 
hindistan cevizi kabuklarının
											pirinç samanı ile karışımı,
											pirinç kabuğu tozu ile 
organik gübre karışımı
											nihayet ormanımızın ekildiği
											toprağa boşaltılır.
											Ekildiği zaman, toprağı örtmek için
											çimen veya pirinç samanı kullanırız,
											böylece sulamada kullanılan suyun hepsi
											atmosfere uçup gitmez.
											Bu basit önlemleri kullanarak,
											bugün bir iPhone'un fiyatı kadar
											az bir maliyetle bir orman yapabiliyoruz.
									","
											Zum Beispiel besteht das Herz von TPS,
											Toyota Production System,
im ""Heijunka""-Konzept,
											bei welchem verschiedene Automodelle
											in einer einzigen Montagelinie
											hergestellt werden.
											Wir tauschten die Autos durch Bäume aus
											und somit garantierten wir 
die Vielschichtigkeit des Waldes
											sowie 100 % Raumnutzung.
											Sie sind so dicht
											— man kann in ihnen
nicht einmal spazieren gehen.
											Wir können z. B. einen Wald 
aus 300 Bäumen
											auf einer Fläche der Größe von 
6 parkenden Autos anlegen.
											Um Kosten zu sparen und unseren
ökologischen Fußabdruck zu verringern,
											benutzten wir lokal verfügbare Biomasse
											als Dünge- und Bodenverbesserungsmittel.
											Wir zertrümmerten z. B.
Kokosnussschalen in einer Maschine
											und vermischten sie mit Reisstroh
											und Reisspreu mit organischem Dünger,
											der dann in den Boden geleitet wird,
											in dem der Wald angepflanzt wird.
											Danach benutzen wir Gras oder Reisstreu,
											um den Boden abzudecken,
											damit all das Wasser,
was zur Bewässerung verwendet wird,
											nicht in der Atmosphäre verdunstet.
											Mit diesen einfachen Verbesserungen
											können wir heutzutage einen Wald anbauen,
											der so wenig wie ein iPhone kostet.
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											Today, we are making forests in houses,
											in schools, even in factories with the corporates.
											But that's not enough.
											There is a huge number of people
											who want to take matters into their own hands.
											So we let it happen.
											Today, we are working on an Internet-based platform
											where we are going to share our methodology
											on an open source
											using which anyone and everyone
											can make their own forest
											without our physical presence being there,
											using our methodology.
											At the click of a button,
											they can get to know all the native species
											of their place.
											By installing a small hardware probe on site,
											we can do remote soil testing,
											using which we can give step-by-step instructions
											on forest-making remotely.
											Also we can monitor the growth of this forest
											without being on site.
									","
											Hoy en día, estamos haciendo
bosques en casas,
											en escuelas e incluso en
fábricas empresariales.
											Pero no es suficiente.
											Existen muchas personas
											que quieren hacerlo
con sus propias manos.
											Así que los ayudamos.
											Hoy en día, estamos trabajando
en una plataforma de internet
											en que compartiremos nuestra metodología
											de manera libre
											con la cuál cualquiera donde sea
											puede tener su propio bosque
											sin que estemos físicamente ahí,
											usando nuestra metodología.
											Con solo un click,
											pueden saber de las especies nativas
											de su comunidad.
											Instalando una pequeña sonda
											podemos evaluar el terreno remotamente,
											con lo que podemos 
dar instrucciones paso a paso
											sobre el proceso de hacer el bosque.
											También podemos monitorear el crecimiento
											sin estar ahí.
									","
											Atualmente, estamos a fazer 
florestas em casas,
											em escolas, em fábricas, 
em conjunto com as empresas.
											Mas não chega.
											Há uma enorme quantidade de pessoas
											que querem fazer as coisas 
pelas suas próprias mãos.
											Por isso deixamos que isso acontecesse.
											Atualmente, estamos a trabalhar 
numa plataforma com base na Internet
											onde vamos partilhar a nossa metodologia
											em regime aberto
											usando-a para que toda a gente,
											possa fazer a sua floresta
											sem ser precisa a nossa presença física,
											usando a nossa metodologia.
											Ao clicar num botão,
											ficam a saber todas as espécies
nativas do seu local.
											Instalando um pequeno 
""hardware"" de controlo no local,
											podemos fazer testes do solo à distância,
											e usá-los para dar instruções passo a passo
											para fazer uma floresta, à distância.
											Também podemos monitorizar 
o crescimento dessa floresta
											sem estar no local.
									","
											Bugün, evlerde, okullarda,
											şirketlerin fabrikalarında dahi 
orman yapıyoruz.
											Ancak bu yeterli değil.
											Meseleyi ele almak isteyen
											çok sayıda insan var.
											O yüzden bunu yapmaya çalışıyoruz.
											Bugün, metodolojimizi açık kaynakta
											paylaşacağımız internet 
tabanlı bir platform
											üzerinde çalışıyoruz.
											Böylece metodolojimizi
											kullanan herkes bizim fiziksel
											olarak orada olmamıza gerek kalmadan
											kendi ormanını yapabilir.
											Bir tıkla
											kendi çevrelerindeki bütün yerel
											türleri öğrenebilirler.
											Alana küçük bir 
donanım probu yerleştirerek,
											uzaktan toprağı ölçümleyebiliriz,
											bununla da orman yapımı ile ilgili
											talimatları uzaktan adım adım verebiliriz.
											Bu ormanın büyümesini de alanda bulunmadan
											izleyebiliriz.
									","
											Heute pflanzen wir 
Wälder in Häusern,
											Schulen und sogar in Fabriken
gemeinsam mit den Unternehmen an.
											Aber das reicht nicht.
											Eine Menge Leute wollten
											die Dinge selbst in die Hand nehmen.
											Wir machten es möglich.
											Heute arbeiten wir mit einer
internetgestützten Plattform,
											auf der wir unsere Methode
											durch Open-Source teilen,
											so dass absolut jeder
											einen Wald anlegen kann.
											Wir müssen selbst nicht vor Ort sein.
											Diese Methodik reicht.
											Mit einem Mausklick
											kann man alle heimischen Arten
											des Ortes kennen lernen.
											Mit einer kleinen Sonde vor Ort
											untersuchen wir aus der Ferne den Boden
											und geben aus der Entfernung
schrittweise Anweisungen
											zur Anlegung des Waldes.
											Ebenso können wir das Wachstum,
											ohne da zu sein, überwachen.
											Ich glaube diese Methodik
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											This methodology, I believe,
											has a potential.
											By sharing, we can actually
bring back our native forests.
											Now, when you go back home,
											if you see a barren piece of land,
											do remember that it can be a potential forest.
									","
											Esta metodología, creo,
											tiene potencial.
											Al compartirla, podemos de verdad
recuperar nuestros bosques.
											Hoy, cuando regresen a sus hogares,
											si ven un terreno baldío
											recuerden que puede ser
un bosque en potencia.
									","
											Penso que esta metodologia tem potencial.
											Partilhando, podemos repor 
as nossas florestas nativas.
											Quando voltarem para casa,
											se virem um pedaço árido de terra,
											lembrem-se que pode ser 
uma floresta potencial.
									","
											Bana göre, bu metodolojinin
											bir potansiyeli bulunuyor.
											Paylaşarak yerel ormanlarımızı
aslında geri getirebiliriz.
											O zaman eve döndüğünüzde,
											eğer boş bir alan görürseniz,
											onun potansiyel olarak bir orman 
olabileceğini hatırlayın.
									","
											hat Potential.
											Durch das Teilen kommt 
der einheimische Wald zurück.
											Wenn Sie also zurück nach Hause gehen
											und ein Stück braches Land sehen,
											denken Sie daran,
es ist ein potentieller Wald.
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											Thank you very much. Thanks.
									","
											Muchas gracias.
									","
											Muito obrigado. Obrigado.
									","
											Çok teşekkür ederim. Teşekkürler.
									","
											Vielen Dank. Danke.
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaus)
									","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
"
","
","
","
","
","An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,4:22,"TED Fellows,engineering,garden,nature,open-source,trees,fungi"
